男歌手,#geren#
姚六一,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yaoliuyi.m3u8
秋裤大叔,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/qiukudashu.m3u8
陈小春,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chenxiaochun.m3u8
阿冗,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/arong.m3u8
倪红,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/nihong.m3u8
庾澄庆,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yuchengqing.m3u8
小乐哥（王唯乐）,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xiaolege（wangweile）.m3u8
王赫野,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangheye.m3u8
萧敬腾,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xiaojingteng.m3u8
水木年华,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/shuimunianhua.m3u8
郑亦辰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhengyichen.m3u8
六哲,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liuzhe.m3u8
李玖哲,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lijiuzhe.m3u8
许冠杰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xuguanjie.m3u8
徐良,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xuliang.m3u8
陈势安,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chenshian.m3u8
郑鱼,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhengyu.m3u8
lf路飞,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lflufei.m3u8
光良,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/guangliang.m3u8
姜玉阳,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/jiangyuyang.m3u8
钟镇涛,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhongzhentao.m3u8
关剑,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/guanjian.m3u8
李常超（lao乾妈）,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lichangchao（laoqianma）.m3u8
洛先生,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/luoxiansheng.m3u8
谢霆锋,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xietingfeng.m3u8
郑中基,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhengzhongji.m3u8
屠洪刚,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/tuhonggang.m3u8
半阳,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/banyang.m3u8
小沈阳,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xiaoshenyang.m3u8
欢子,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/huanzi.m3u8
方大同,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/fangdatong.m3u8
陆杰awr,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lujieawr.m3u8
金志文,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/jinzhiwen.m3u8
古巨基,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/gujuji.m3u8
黑龙,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/heilong.m3u8
正云,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhengyun.m3u8
王以太,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangyitai.m3u8
dj candy,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/dj candy.m3u8
胜屿,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/shengyu.m3u8
